SMILES,Activity
CCCN(CCC)[C@@H]1CCc2ccc(O)cc2C1,1
CCCNC1CCc2c(O)cccc2C1,1
CCCN(C)C1CCc2ccc(O)cc2C1,1
CCCN(CCC)[C@H]1CCc2c(ccc(O)c2O)C1,1
CCCN(CCC)C1CCc2ccc(O)cc2C1,1
CCN(C)C1CCc2ccc(O)cc2C1,1
NC1CCc2ccc(O)cc2C1,1
CCCN(C/C=C/I)C1CCc2c(O)cccc2C1,1
CCCNC1CCc2ccc(O)cc2C1,1
CN(C)C1CCc2ccc(O)cc2C1,1
CCCN(CCC)C1CCc2c(O)cccc2C1,1
CCCN(CCC)[C@H]1CCc2c(O)cccc2C1,1
CCCN(CCC)[C@@H]1CCc2c(cccc2OC)C1,1
CCCN(C/C=C/I)C1CCc2ccc(O)cc2C1,1
CN(C)C1CCc2cc(O)c(O)cc2C1,1
CCCN[C@H]1CCc2c(cccc2CS(=O)(=O)C(F)(F)F)C1,1
CCCN(C/C=C/I)C1CCc2cc(O)ccc2C1,1
CCCN(CCC)[C@@H]1CCc2c(OC)cccc2[C@@H]1C,1
CCCN(CCC)[C@@H]1Cc2cccc(O)c2C[C@H]1C,1
CCCN[C@@H]1CCc2c(OC)cccc2[C@@H]1C,1
Cc1ccc2c(c1C)CC(N)CC2,1
CCCN(CCC)C1CCc2cc(O)c(O)cc2C1,1
CCCN(CCC)[C@@H]1CCc2c(F)cccc2C1,1
CCCN(CCC)[C@@H]1CCc2cccc(O)c2[C@@H]1C,1
Cc1cc2c(cc1C)CC(N)CC2,1
CCCN(CCC)[C@@H]1CCc2cccc(OC)c2[C@@H]1C,1
CCCN(CCC)[C@@H]1CCc2cccc(C(C)=O)c2[C@@H]1C,1
CCCCN(CCC)[C@@H]1CCc2c(F)cccc2C1,1
CCCN[C@@H]1CCc2ccc(OS(=O)(=O)C(F)(F)F)cc2C1,1
CCCN(CCC)[C@@H]1CCc2c(O)cccc2C1,1
CCCN(CCC)[C@@H]1CCc2cccc(C(=O)OC)c2[C@@H]1C,1
CCCN(CCC)C1CCc2cccc(OS(=O)(=O)C(F)(F)F)c2C1,1
CCCN[C@@H]1CCc2cccc(CS(=O)(=O)C(F)(F)F)c2C1,1
CCCN[C@@H]1CCc2c(cccc2OC)C1,1
CCCN(CCC)C1CCc2cccc(O)c2C1,1
CCCN(CCC)[C@@H]1CCc2ccccc2[C@@H]1C,1
CCCN(CCC)[C@@H]1CCc2cccc(O)c2C1,1
CCCNC1CCc2cccc(OS(=O)(=O)C(F)(F)F)c2C1,1
CCN(CC)C1CCc2c(cccc2OC)C1,1
CCCN(CCC)[C@@H]1CCc2cccc(OS(=O)(=O)C(F)(F)F)c2[C@@H]1C,1
CNC1CCc2c(cccc2OC)C1,1
CCCN[C@@H]1CCc2c(F)cccc2C1,1
CCNC1CCc2c(cccc2OC)C1,1
COc1cccc2c1CCC(N(C)C)C2,1
CCCN[C@H]1CCc2cccc(CS(=O)(=O)C(F)(F)F)c2C1,1
CCCCN[C@@H]1CCc2c(F)cccc2C1,1
CCCN(CCC)[C@H]1CCc2ccc(O)cc2C1,1
COc1cccc2c1CCC(N)C2,1
CCCNC1CCc2c(cccc2OC)C1,1
CCCN(CCC)C1CCc2c(cccc2OC)C1,1
CCCN(CCC)[C@@H]1CCc2c(OS(=O)(=O)C(F)(F)F)cccc2[C@@H]1C,1
N[C@@H]1CCc2c(F)cccc2C1,1
CCCN(C(C)C)[C@@H]1CCc2cccc(O)c2[C@@H]1C,1
CCCCNC1CCc2c(cccc2OC)C1,1
COc1ccc(C(F)(F)F)cc1S(=O)(=O)N[C@H]1CC[C@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,1
CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@H](NS(=O)(=O)c3ccccc3C#N)CC2)CC1,1
CCN([C@H]1CC[C@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1)S(=O)(=O)c1ccc(OC)c(OC)c1,1
CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@H](NS(=O)(=O)c3ccc(S(C)(=O)=O)cc3)CC2)CC1,1
COc1ccc([N+](=O)[O-])cc1S(=O)(=O)N[C@H]1CC[C@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,1
CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@H](NS(=O)(=O)c3ccc(F)cc3)CC2)CC1,1
CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@H](NS(=O)(=O)c3ccccc3F)CC2)CC1,1
CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@H](NS(=O)(=O)c3ccccc3)CC2)CC1,1
COc1ccc(Br)cc1S(=O)(=O)N[C@H]1CC[C@H](N2CCN(c3ccccc3OC(C)C)CC2)CC1,1
