,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000000,447.29925048372087,4.29329864345862,1.0848364969933468,3.9575536547282577,7.572128220130469e-05,0.01030786499105797
ENSRNOG00000000001,32.44940977140842,3.539053410243742,1.013514305372289,3.4918633032453936,0.0004796636586551575,0.04009621564452412
ENSRNOG00000000002,1610.717488755273,2.0702389104941505,0.5019017108404564,4.124789507147614,3.7107396794078405e-05,0.006243557378531858
ENSRNOG00000000003,1008.5053944780338,1.323511909758514,0.6443740585559298,2.0539497085350726,0.039980559488599354,0.5365080395995684
ENSRNOG00000000005,12.96208436230548,1.9041688384722224,0.9351883549334664,2.0361340348465884,0.041736897939261004,0.5454729653992721
ENSRNOG00000000006,400.8771923089408,2.3004455413126723,0.7781014800100876,2.9564852405663697,0.0031116712373149592,0.125654071749297
ENSRNOG00000000007,296.98562869759724,3.4391791587925558,0.5965292610832545,5.765315103817794,8.150541422853236e-09,1.0696770563352587e-05
ENSRNOG00000000008,359.2309252823909,2.757308561778322,0.5505913494273552,5.0079038921444585,5.502599705104656e-07,0.00023295522106385003
ENSRNOG00000000009,49.66209135973943,2.1140480068364362,0.6106644599285845,3.4618815168704398,0.0005364132463016346,0.043062278185126354
ENSRNOG00000000010,762.5928946229457,1.5727124211419965,0.5430643679642118,2.8959963384039202,0.003779568100627374,0.14172300500752472
ENSRNOG00000000011,552.7003192330106,1.3513038319372268,0.8622223712528587,1.5672335548122052,0.1170601099538487,0.8401335926521651
ENSRNOG00000000012,278.1007280555834,4.610645931389078,1.2363124950697006,3.72935317711008,0.00019197192516026107,0.020821814428126167
ENSRNOG00000000013,2258.806809975267,2.636144141139082,0.49891340186218225,5.2837709536359165,1.2655146021342637e-07,0.00010380383524006298
ENSRNOG00000000014,1483.8935031089552,3.3305696347770124,0.6702948538094796,4.968812778210099,6.73640716735795e-07,0.0002762768989512679
ENSRNOG00000000015,65.56816515588577,2.150648529307939,0.6884253015402639,3.124011457010858,0.001784035100120017,0.09145967442959026
ENSRNOG00000000016,877.4929815798329,3.5966307944742035,0.7304308147741706,4.9239855736182,8.479909077884845e-07,0.0003179723621090306
ENSRNOG00000000017,46.60350148828794,3.3441677809981027,0.6664511380427071,5.017873914687208,5.224644630718508e-07,0.0002285607871118323
ENSRNOG00000000018,1039.578973935758,1.1639664455168883,1.0595156128759315,1.098583570993765,0.27194974699878427,0.9941694929281462
ENSRNOG00000000019,156.00012707736843,2.1749851319715714,0.7656131137389112,2.8408410108728663,0.004499473824938117,0.15803659479579418
ENSRNOG00000000020,136.63535147190484,1.7107260454859867,0.6053570862864157,2.825978392324596,0.004713644358304313,0.16109861603746303
ENSRNOG00000000021,72.37635813560077,1.4450108327149471,0.5190955357583003,2.783708841965015,0.005374125240269527,0.17371926022979622
ENSRNOG00000000022,812.6609663398682,1.1216090352786552,0.7440821910934479,1.5073725036079977,0.13171520265616157,0.8623887369363757
ENSRNOG00000000023,161.77221610599156,2.3929589559554243,0.8498970418322976,2.815586874848312,0.00486882311787911,0.16426332801811164
ENSRNOG00000000024,141.70122534013998,2.2517765891687898,0.8987773511848249,2.5053775400552274,0.012232074821073266,0.2876948923866766
ENSRNOG00000000025,162.5793090427462,2.879429404969762,0.8451125979825115,3.4071547529212767,0.0006564389680363682,0.04839946638488368
ENSRNOG00000000026,549.8461585165985,1.7786251317491446,0.8930827075211925,1.9915570156831623,0.04641968358577735,0.5779999311003243
ENSRNOG00000000027,492.2723082921504,2.148143354473016,0.5821310022901892,3.690137350565256,0.0002241330027674529,0.02316158683716576
ENSRNOG00000000028,377.90213441398015,1.5909155941896322,0.723047126100962,2.200293088458367,0.027786107342451533,0.4604354454069872
ENSRNOG00000000029,437.1162324809534,1.574492773960389,0.6906509518235819,2.279722875648151,0.022624129685694112,0.417142742451891
ENSRNOG00000000030,9356.130340758775,2.0491339903624275,0.6098773094475006,3.3599118357408257,0.0007796734914141168,0.05329393177770245
ENSRNOG00000000031,123.32411532524874,1.7481934808812016,0.7674662035390588,2.2778768274350867,0.022733917264093847,0.4178710506638202
ENSRNOG00000000032,65.6555355380571,1.215204545423663,0.6205151606450711,1.958380104944364,0.050185427496325714,0.5985926653342359
ENSRNOG00000000033,47.401972886465956,1.7948648728043872,0.8445052792286233,2.1253447633196902,0.03355785570207579,0.5010390196064194
ENSRNOG00000000034,145.89919715167636,-0.9501644281813841,1.182467794653824,-0.8035435996458166,0.4216606070872231,0.9987769492299902
ENSRNOG00000000035,872.7625897316408,1.0729057100187478,0.7341128081607425,1.461499783264676,0.14387833498793282,0.884491315220494
ENSRNOG00000000036,125.6072897265545,3.3456913769724532,0.6372925157162957,5.249851982353827,1.5222147514032324e-07,0.00011639570027656745
ENSRNOG00000000037,75.43408794816686,3.4639575277232293,2.8097021661470585,1.2328557700737905,0.2176295796863179,0.9646953691656998
ENSRNOG00000000038,34.326183785566506,2.9820120129932084,0.7556289508218847,3.9463972492712522,7.933594496012943e-05,0.010624540220987128
ENSRNOG00000000039,424.11510252403986,0.8638627893949262,0.8403992813039096,1.0279194766261723,0.3039877070187792,0.9987769492299902
ENSRNOG00000000040,610.7904208979172,1.9509873978845094,0.7856694720190404,2.483216501808063,0.013020192697297329,0.29759851047526126
ENSRNOG00000000041,476.17863714888705,1.6713949726780084,0.5147866080505882,3.2467724422888637,0.0011672167368713738,0.06778120555176952
ENSRNOG00000000042,78.24607424085679,2.434645056014379,0.5408336425057603,4.50165238377982,6.742719625443086e-06,0.0016445219817098644
ENSRNOG00000000043,184.1670574616469,1.022112935444483,0.6625887378730569,1.5426053553604258,0.12292655787498638,0.8513619491648043
ENSRNOG00000000044,343.7438280100095,1.824330364361862,0.6162361921231837,2.960440148892106,0.003071998047407949,0.12443488387093185
ENSRNOG00000000045,96.31465732480412,2.355570209581705,0.830901335811484,2.8349577838639317,0.004583174163848518,0.1595479515287744
ENSRNOG00000000046,1490.3124389634575,1.2277918068990292,0.5991582255696501,2.049194610875458,0.04044308884137665,0.5388579674662205
ENSRNOG00000000047,268.2725077067539,1.438053024706299,0.6652451976781742,2.1616886972282754,0.030642179440206117,0.47931819186324803
ENSRNOG00000000048,1204.76922403711,1.8884357092071193,0.7782239773447264,2.426596666489765,0.015241189413608096,0.33116783090098123
ENSRNOG00000000049,191.31783472160032,1.9487760141566706,0.723601450083215,2.6931621183630288,0.007077784420181684,0.20641965051214317
ENSRNOG00000000050,416.1259395688855,1.4990977222325317,0.7726486116811941,1.940206323506708,0.052354620333193026,0.6095454004073209
ENSRNOG00000000051,335.23663826382773,0.5494503167084758,0.6110529987745235,0.8991860244699023,0.3685535831158665,0.9987769492299902
ENSRNOG00000000052,16.460489568145306,1.2036855497365002,0.7688865014404251,1.565491847602379,0.11746762743955524,0.8401335926521651
ENSRNOG00000000053,142.60113017696906,1.6984398451493712,0.806265395169876,2.106551831846285,0.03515644576498213,0.5094926549659131
ENSRNOG00000000054,72.33125260420125,2.1239931855250074,0.5339140604788216,3.9781555548849576,6.945193094730454e-05,0.009696671720770477
ENSRNOG00000000055,65.31694899579863,3.453461687034844,0.7681209658218344,4.4959867529978,6.924804772447016e-06,0.0016445219817098644
ENSRNOG00000000056,78.2765024033042,1.7267726822691616,1.1434629173875914,1.5101256507856213,0.1310113654233678,0.8622834301987357
ENSRNOG00000000057,1680.0580288650226,1.6752415328402297,0.7360931087191579,2.2758554767008228,0.02285466105494852,0.41950289746174035
ENSRNOG00000000058,42.34228553316202,1.7934611297142795,0.768300179324917,2.3343234558270463,0.019578791436835163,0.3820341872788295
ENSRNOG00000000059,1127.3252542020016,1.612881407075685,0.7609913782619887,2.1194476746363526,0.034052651394528684,0.5042703094547354
ENSRNOG00000000060,8.789396403104094,1.8303563809972863,0.8345932520800767,2.193111885862299,0.02829931887240335,0.4654138607536611
ENSRNOG00000000061,111.82850737210163,2.4768087576480156,0.7597320393003018,3.2601083402104614,0.0011136966385769263,0.06545114231075892
ENSRNOG00000000062,345.3557911668063,2.530883614509313,0.5628879466898505,4.496247662421206,6.916317206027347e-06,0.0016445219817098644
ENSRNOG00000000063,652.0140823029367,3.8218403174239457,1.2161013428032301,3.1426988713080752,0.0016739795542123864,0.08752712218917673
ENSRNOG00000000064,347.7464983322716,1.411879607218412,1.0131847883973972,1.3935065186397533,0.16346667519299485,0.9131202525899015
ENSRNOG00000000065,1269.0511346057708,2.621565221560712,1.402636504829456,1.869026802406988,0.06161908554904225,0.6623789784423572
ENSRNOG00000000066,77.68081979674702,1.1248615958004173,0.8224987994178578,1.3676148787044597,0.1714326567058977,0.919728970142229
ENSRNOG00000000067,97.77146419225865,1.5735541323323239,0.6361371557095017,2.4736082748967787,0.013375626643046859,0.30265814493680515
ENSRNOG00000000068,1211.6071199217852,2.35853626906895,0.789406201752188,2.98773465908157,0.0028105344475474305,0.11975796782341713
ENSRNOG00000000069,113.48016367962447,1.2302538694106533,1.0490607621774146,1.172719363611653,0.24090836368541946,0.9778070619711718
ENSRNOG00000000070,14.87742975579471,1.8592448872487166,0.918808339465874,2.023539412288684,0.043017564444213466,0.5578680985828631
ENSRNOG00000000071,25.876194855635504,2.0685153601253514,0.6318943788443744,3.273514418514544,0.0010621897133994023,0.06394576971859521
ENSRNOG00000000072,62.87742036446235,4.000615450948656,0.7969226619311127,5.020079917484484,5.1649986509021e-07,0.0002285607871118323
ENSRNOG00000000073,927.9428004653423,3.6186228406770455,0.9351399202815518,3.86960578005006,0.00010901147683108929,0.013756409826261692
ENSRNOG00000000074,297.97612944286925,1.6897859656745,1.3313443788491446,1.2692328089710367,0.20435804263366442,0.950946573592254
ENSRNOG00000000075,831.1536553702708,1.4234366846148696,0.801061720429108,1.776937592090122,0.07557850844058506,0.721340417315726
ENSRNOG00000000076,145.66945978703637,1.8389247430241626,1.178995202598699,1.55973895311098,0.11882158294011229,0.8434914420759988
ENSRNOG00000000077,351.5747022574746,2.9293009724041226,0.9968090995926394,2.938678001235366,0.003296153233183553,0.13032066610517265
ENSRNOG00000000078,683.0313880855392,2.062853340955805,0.5000687115510368,4.12513979240485,3.705096429764506e-05,0.006243557378531858
ENSRNOG00000000079,195.3517056429553,2.7117402486131623,0.5542570139387716,4.892568213692874,9.9528603205471e-07,0.00035303064553205446
ENSRNOG00000000080,646.9302428031352,2.5506837920883485,0.6302441941899177,4.047135722316112,5.184818127709683e-05,0.008088017933169952
ENSRNOG00000000081,79.43962527123169,2.5525465867884845,0.6126352040055513,4.166503279764763,3.0930744480004964e-05,0.005412467874074469
ENSRNOG00000000082,89.63725175319826,2.5372986083378524,0.7764323016765169,3.2678941909799124,0.0010835086456188246,0.06434374418597943
ENSRNOG00000000083,109.01668822315806,1.8662505354106955,0.7090898233168873,2.6318958107183006,0.008490989752234526,0.23338617532653153
ENSRNOG00000000084,22.986124291606213,1.2662124875830423,1.3501789753974174,0.9378108463067572,0.34834162609945507,0.9987769492299902
ENSRNOG00000000085,397.11225935924875,2.6135097987756595,0.639803942704374,4.084860414783737,4.410332100967282e-05,0.0071458269744561235
ENSRNOG00000000086,66.86123748031527,2.408396490969435,1.1314854636199236,2.1285262324664185,0.033293477359689364,0.5002867280017262
ENSRNOG00000000087,249.63655870874575,2.5848144465563445,0.713494982433875,3.622750699295771,0.0002914867257805073,0.028336828067728723
ENSRNOG00000000088,587.142026860363,1.9605691033373027,0.5774936826773908,3.3949619920475373,0.0006863812849001877,0.04922441520781456
ENSRNOG00000000089,457.5690175965572,1.905158735765941,0.9510930466173656,2.0031255012764335,0.04516381942864304,0.5710307959359453
ENSRNOG00000000090,1171.8747410678982,1.6901073027759548,0.9874633028705537,1.7115646706696,0.08697692370462656,0.7567775862742825
ENSRNOG00000000091,187.64938775207233,2.5329898381823885,0.7607425548519504,3.3296281666211485,0.0008696203090724027,0.05540241231197191
ENSRNOG00000000092,64.49021689135924,1.1955998291796601,0.8082841757876267,1.479182526386362,0.13909153834723598,0.8765880950086471
ENSRNOG00000000093,144.09893874269565,1.7547922328808534,0.6975684838833698,2.5155841661766454,0.011883529936831026,0.28429807538220686
ENSRNOG00000000096,23.157693185209293,2.396554490620645,0.764495559774106,3.134818063990825,0.0017196072467077596,0.08920207709799462
ENSRNOG00000000097,32.45248692429848,0.977831768386,0.7228433865199856,1.3527574390541435,0.1761331337350529,0.9253687938906463
ENSRNOG00000000098,392.4645960854802,2.3916268329779617,0.676489425401965,3.5353499155687094,0.0004072355062339086,0.0366065670124234
ENSRNOG00000000099,60.17487636217272,2.6653771918361584,1.0447992042760186,2.5510903730857075,0.010738647605039878,0.2689120764539583
ENSRNOG00000000100,176.19391941642684,3.398941618026041,0.8513677231034711,3.992330841056503,6.542700349489638e-05,0.009333304281163262
ENSRNOG00000000101,1515.4906180975222,-0.8700690850219734,1.5584720801043577,-0.5582833957241713,0.5766508814041699,0.9987769492299902
ENSRNOG00000000102,149.8727122143574,2.3048194876228267,0.8771681139956368,2.6275687075810548,0.00859974728785676,0.2335908767547753
ENSRNOG00000000103,1595.5812062975413,3.8417458858036153,1.0201722717592228,3.7657815176438456,0.0001660289317197485,0.01885797619245026
ENSRNOG00000000104,73.41545915450786,2.698549038576393,0.6284818734802237,4.293757946642367,1.7567399675959422e-05,0.0036595960848776424
ENSRNOG00000000105,165.99765260742086,2.2937781460705193,0.5609336257278558,4.089214910398999,4.328356891507095e-05,0.007100669480517389
ENSRNOG00000000106,27.915849865142643,2.1474471019455494,0.8470880284365214,2.5350932014812124,0.011241741204333185,0.27458348188857884
ENSRNOG00000000107,149.85860097488535,2.830634571607697,0.9262731120661317,3.055939479117259,0.0022435653711699814,0.1047848823175617
ENSRNOG00000000108,854.6824487572494,0.7733065066310193,0.7720335476528455,1.0016488389423541,0.31651322419413774,0.9987769492299902
ENSRNOG00000000110,585.8609739163248,2.630229544574175,0.5403655367308361,4.867500545069607,1.130185202044682e-06,0.0003903302787272212
ENSRNOG00000000111,54.58219798260643,-0.5196248687886883,1.3310144791668037,-0.3903976079313323,0.6962425564112267,0.9987769492299902
ENSRNOG00000000112,107.44525280609162,2.440631355674264,0.9544061747089019,2.5572250267750705,0.010551093861206671,0.26732153635999295
ENSRNOG00000000113,12.447059925751752,2.5952364343090455,0.7855607372844393,3.3036738104813796,0.0009542679429511733,0.06021063693889999
ENSRNOG00000000114,203.0189708701392,1.29498927838617,0.9547714412278359,1.3563343251247797,0.17499281886249685,0.9249880602895689
ENSRNOG00000000115,110.62708284936315,2.6436919115300572,0.7648538398094681,3.4564668096438194,0.0005473066036787035,0.043062278185126354
ENSRNOG00000000116,488.3435540815306,1.7917863897641495,1.1928321883436672,1.5021277990931592,0.13306410676437003,0.8632240166678348
ENSRNOG00000000117,165.27057368391775,2.068770355422448,0.6051895603296442,3.4183840750583965,0.0006299414588924329,0.04771388620651315
ENSRNOG00000000118,2857.072788925449,2.124749035818512,0.7510619047583663,2.828993219276768,0.0046694688282443155,0.16109861603746303
ENSRNOG00000000119,147.92310668175818,0.9915978776914502,0.7284748770083426,1.3611970830945956,0.17345141573670086,0.9242291433733097
ENSRNOG00000000120,28.27927787868695,2.0101320261543734,0.61140074431269,3.287748739027258,0.0010099192974233238,0.06251972103482878
ENSRNOG00000000121,296.55488266997344,1.6585077897895895,0.6070737876629845,2.7319706821377467,0.006295674295064929,0.194410422231605
ENSRNOG00000000122,370.2861756139908,1.641701261746924,0.7566355545213215,2.1697384585443267,0.030026664831514685,0.47816036465577555
ENSRNOG00000000123,978.5405319690641,-0.015542904684257145,1.1429069027229442,-0.013599449480291532,0.989149543681609,0.9987769492299902
ENSRNOG00000000124,1065.834713851959,1.865881981194912,0.6255166796846451,2.982945206410161,0.002854890996885455,0.1207773846913922
ENSRNOG00000000125,557.5373076117215,2.158434812516353,0.624487281733932,3.456331098566667,0.0005475822573498232,0.043062278185126354
ENSRNOG00000000126,3893.3306676162097,2.050402934197681,0.6875524472064249,2.982176767064994,0.002862066949026438,0.1207773846913922
ENSRNOG00000000127,31.241297669182885,2.6959425393906096,0.8666139297810989,3.110892228643945,0.0018652299988113927,0.0936876669300388
ENSRNOG00000000128,47.72990577572836,1.807995059213676,0.6877000899849564,2.6290458377767933,0.008562481859167146,0.23338617532653153
ENSRNOG00000000129,78.67115041453977,3.1360894889423303,0.6112254408011706,5.130822900355171,2.884782321479112e-07,0.0001802851580337708
ENSRNOG00000000130,95.08203782479977,1.4072000051730362,0.8693758050479309,1.6186325832882522,0.10552634012740614,0.8127509905117829
ENSRNOG00000000132,437.21428712905293,1.610960083153776,0.9969475336798009,1.6158925407113582,0.10611754865502798,0.8147870240581047
ENSRNOG00000000133,151.13099321237084,1.2086843637452565,0.6629916313082099,1.8230763506928285,0.06829182787685834,0.6991488641387789
ENSRNOG00000000135,50.01701405078256,0.6733863435774766,1.2256565005514257,0.5494086991538972,0.5827250054916456,0.9987769492299902
ENSRNOG00000000136,308.50378890373264,3.882095186919836,1.0958290612123216,3.5426101792053712,0.00039618788103091906,0.03585910172861918
ENSRNOG00000000137,1486.6213722357982,1.990559632156264,0.6313685475845562,3.1527697091842826,0.0016172934050144117,0.08490143458963656
ENSRNOG00000000138,6955.694306920704,2.1479009598508916,0.6967586863226474,3.0827042446891935,0.002051289108556403,0.09970784540997864
ENSRNOG00000000139,17328.73299103059,1.4765242535829306,0.5177630953575033,2.8517371493297046,0.004348103888878733,0.15548914288186508
ENSRNOG00000000140,520.2211615510945,2.1127190231997637,0.6778015679492145,3.117017019585978,0.001826910248276415,0.09329326886529055
ENSRNOG00000000141,34.325837370986115,1.9049395992528244,0.9049465202542838,2.1050300284237236,0.035288694252058446,0.5094926549659131
