,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000000000,447.29925048372087,4.29329864345862,1.0848364969933468,3.9575536547282577,7.572128220130469e-05,0.01030786499105797
ENSRNOG00000000001,32.44940977140842,3.539053410243742,1.013514305372289,3.4918633032453936,0.0004796636586551575,0.04009621564452412
ENSRNOG00000000002,1610.717488755273,2.0702389104941505,0.5019017108404564,4.124789507147614,3.7107396794078405e-05,0.006243557378531858
ENSRNOG00000000007,296.98562869759724,3.4391791587925558,0.5965292610832545,5.765315103817794,8.150541422853236e-09,1.0696770563352587e-05
ENSRNOG00000000008,359.2309252823909,2.757308561778322,0.5505913494273552,5.0079038921444585,5.502599705104656e-07,0.00023295522106385003
ENSRNOG00000000009,49.66209135973943,2.1140480068364362,0.6106644599285845,3.4618815168704398,0.0005364132463016346,0.043062278185126354
ENSRNOG00000000012,278.1007280555834,4.610645931389078,1.2363124950697006,3.72935317711008,0.00019197192516026107,0.020821814428126167
ENSRNOG00000000013,2258.806809975267,2.636144141139082,0.49891340186218225,5.2837709536359165,1.2655146021342637e-07,0.00010380383524006298
ENSRNOG00000000014,1483.8935031089552,3.3305696347770124,0.6702948538094796,4.968812778210099,6.73640716735795e-07,0.0002762768989512679
ENSRNOG00000000016,877.4929815798329,3.5966307944742035,0.7304308147741706,4.9239855736182,8.479909077884845e-07,0.0003179723621090306
ENSRNOG00000000017,46.60350148828794,3.3441677809981027,0.6664511380427071,5.017873914687208,5.224644630718508e-07,0.0002285607871118323
ENSRNOG00000000025,162.5793090427462,2.879429404969762,0.8451125979825115,3.4071547529212767,0.0006564389680363682,0.04839946638488368
ENSRNOG00000000027,492.2723082921504,2.148143354473016,0.5821310022901892,3.690137350565256,0.0002241330027674529,0.02316158683716576
ENSRNOG00000000036,125.6072897265545,3.3456913769724532,0.6372925157162957,5.249851982353827,1.5222147514032324e-07,0.00011639570027656745
ENSRNOG00000000038,34.326183785566506,2.9820120129932084,0.7556289508218847,3.9463972492712522,7.933594496012943e-05,0.010624540220987128
ENSRNOG00000000042,78.24607424085679,2.434645056014379,0.5408336425057603,4.50165238377982,6.742719625443086e-06,0.0016445219817098644
ENSRNOG00000000054,72.33125260420125,2.1239931855250074,0.5339140604788216,3.9781555548849576,6.945193094730454e-05,0.009696671720770477
ENSRNOG00000000055,65.31694899579863,3.453461687034844,0.7681209658218344,4.4959867529978,6.924804772447016e-06,0.0016445219817098644
ENSRNOG00000000062,345.3557911668063,2.530883614509313,0.5628879466898505,4.496247662421206,6.916317206027347e-06,0.0016445219817098644
ENSRNOG00000000072,62.87742036446235,4.000615450948656,0.7969226619311127,5.020079917484484,5.1649986509021e-07,0.0002285607871118323
ENSRNOG00000000073,927.9428004653423,3.6186228406770455,0.9351399202815518,3.86960578005006,0.00010901147683108929,0.013756409826261692
ENSRNOG00000000078,683.0313880855392,2.062853340955805,0.5000687115510368,4.12513979240485,3.705096429764506e-05,0.006243557378531858
ENSRNOG00000000079,195.3517056429553,2.7117402486131623,0.5542570139387716,4.892568213692874,9.9528603205471e-07,0.00035303064553205446
ENSRNOG00000000080,646.9302428031352,2.5506837920883485,0.6302441941899177,4.047135722316112,5.184818127709683e-05,0.008088017933169952
ENSRNOG00000000081,79.43962527123169,2.5525465867884845,0.6126352040055513,4.166503279764763,3.0930744480004964e-05,0.005412467874074469
ENSRNOG00000000085,397.11225935924875,2.6135097987756595,0.639803942704374,4.084860414783737,4.410332100967282e-05,0.0071458269744561235
ENSRNOG00000000087,249.63655870874575,2.5848144465563445,0.713494982433875,3.622750699295771,0.0002914867257805073,0.028336828067728723
ENSRNOG00000000088,587.142026860363,1.9605691033373027,0.5774936826773908,3.3949619920475373,0.0006863812849001877,0.04922441520781456
ENSRNOG00000000098,392.4645960854802,2.3916268329779617,0.676489425401965,3.5353499155687094,0.0004072355062339086,0.0366065670124234
ENSRNOG00000000100,176.19391941642684,3.398941618026041,0.8513677231034711,3.992330841056503,6.542700349489638e-05,0.009333304281163262
ENSRNOG00000000103,1595.5812062975413,3.8417458858036153,1.0201722717592228,3.7657815176438456,0.0001660289317197485,0.01885797619245026
ENSRNOG00000000104,73.41545915450786,2.698549038576393,0.6284818734802237,4.293757946642367,1.7567399675959422e-05,0.0036595960848776424
ENSRNOG00000000105,165.99765260742086,2.2937781460705193,0.5609336257278558,4.089214910398999,4.328356891507095e-05,0.007100669480517389
ENSRNOG00000000110,585.8609739163248,2.630229544574175,0.5403655367308361,4.867500545069607,1.130185202044682e-06,0.0003903302787272212
ENSRNOG00000000115,110.62708284936315,2.6436919115300572,0.7648538398094681,3.4564668096438194,0.0005473066036787035,0.043062278185126354
ENSRNOG00000000117,165.27057368391775,2.068770355422448,0.6051895603296442,3.4183840750583965,0.0006299414588924329,0.04771388620651315
ENSRNOG00000000125,557.5373076117215,2.158434812516353,0.624487281733932,3.456331098566667,0.0005475822573498232,0.043062278185126354
ENSRNOG00000000129,78.67115041453977,3.1360894889423303,0.6112254408011706,5.130822900355171,2.884782321479112e-07,0.0001802851580337708
ENSRNOG00000000136,308.50378890373264,3.882095186919836,1.0958290612123216,3.5426101792053712,0.00039618788103091906,0.03585910172861918
ENSRNOG00000000146,39.84784327966164,3.6753137992968905,0.7242253269061766,5.074820864105224,3.878612237759907e-07,0.00019157278660822424
ENSRNOG00000000147,162.03584774993234,2.384844242181775,0.6822040964210896,3.4957929081530064,0.00047265537653835995,0.03990173613330566
ENSRNOG00000000150,327.2309231419617,3.705054591146413,0.5919952226012085,6.258588667095181,3.88477005151764e-10,7.283388879445359e-07
ENSRNOG00000000153,74.93260754692675,2.6524333654055106,0.6779841562445431,3.9122350293519252,9.144584899610625e-05,0.012001353222248984
ENSRNOG00000000156,369.9186594277469,4.303248301503519,0.5763813906703997,7.465973695816813,8.268586482355113e-14,3.61723096648095e-10
ENSRNOG00000000166,1008.3011958809952,2.423290301878615,0.5393278608433792,4.493167288055861,7.017161762858306e-06,0.0016445219817098644
ENSRNOG00000000172,90.33418192181988,3.7064764111803155,0.881999798452877,4.2023551679738205,2.6415225293884938e-05,0.0047489509144787116
ENSRNOG00000000176,4825.349760936682,2.737137901638063,0.5820742817311825,4.702385911120098,2.571389052953366e-06,0.0007257813245859566
ENSRNOG00000000177,406.60057667735913,2.8612289615626723,0.7609290122647601,3.7601785652077715,0.00016979211578005133,0.018884336673706727
ENSRNOG00000000178,149.17952442063196,1.8011558412166737,0.4552866434315833,3.956091985569826,7.618583542613709e-05,0.01030786499105797
ENSRNOG00000000183,1743.9564888104753,2.7195105551307215,0.7189055100896565,3.7828483951827887,0.00015504385623475928,0.018008178763418235
ENSRNOG00000000184,536.7898786195959,2.241903985580996,0.5184363810152065,4.3243569851152825,1.5297740596765744e-05,0.003238186251483123
ENSRNOG00000000185,2617.2598430419043,1.9943489891253867,0.4933583271038916,4.042394502252753,5.290811926687749e-05,0.008088017933169952
ENSRNOG00000000186,748.3649152667198,3.0686263859726757,0.48085007436922833,6.381669775133242,1.7516737705314512e-10,3.8314944274091277e-07
ENSRNOG00000000187,48.72774992074304,4.369314651751137,0.8990107979755018,4.860135897800642,1.173052005635039e-06,0.00039474703902446794
ENSRNOG00000000190,6208.898958693467,2.421828107825463,0.6212804812957162,3.8981236023616916,9.694093539110984e-05,0.012596562733395303
ENSRNOG00000000191,249.75160097207626,2.6311649343494854,0.6994548083383096,3.76173685988424,0.0001687375217726577,0.018884336673706727
ENSRNOG00000000196,608.8178820370135,2.509028047027772,0.7382171910972576,3.3987667549416587,0.0006769041677481945,0.04881148515124893
ENSRNOG00000000199,301.13583209315794,3.5335372786648263,0.6629075037222621,5.33036246961125,9.801693723806353e-08,8.575828562082304e-05
ENSRNOG00000000210,218.60295735236198,-3.91925466984789,0.5829953093276212,-6.722617844675346,1.7848827452063452e-11,4.684960229617615e-08
ENSRNOG00000000214,33.70845473449524,-2.7109500084162472,0.6838425879217276,-3.964289525539965,7.361486420702715e-05,0.01016969976687394
ENSRNOG00000000218,40.595808905913685,-2.2199751465820525,0.5789530672392779,-3.834464781692831,0.0001258379999070067,0.015514118983245777
ENSRNOG00000000225,122.97557487952945,-2.647313647495255,0.7377961796331539,-3.5881368331448247,0.0003330494960154268,0.031673489751496094
ENSRNOG00000000226,3944.8391145531737,-2.8405540896740895,0.5587376930009785,-5.0838776858197665,3.6980613288434014e-07,0.00019157278660822424
ENSRNOG00000000227,1369.0972095293064,-3.079996169014016,0.8906883541084145,-3.4579953300243997,0.0005442108176120998,0.043062278185126354
ENSRNOG00000000231,16.703237016924362,-4.041601161073968,0.8341998231701392,-4.844883742260952,1.2668583789469736e-06,0.00040551827720244107
ENSRNOG00000000237,47.354542940556605,-3.3824828629331227,0.7212348380547696,-4.689849525372291,2.7340603416185147e-06,0.0007475376650708623
ENSRNOG00000000244,2123.7497490837636,-3.140989272626956,0.5791308854909204,-5.42362590446957,5.84020446911487e-08,5.698010291549087e-05
ENSRNOG00000000248,6218.26905445196,-3.2877499888819313,0.9590727134818854,-3.4280508064355737,0.0006079316751323019,0.04693232532021371
ENSRNOG00000000254,52.643184070134076,-3.031288928294534,0.7000895729925054,-4.32985869984809,1.4920504881467747e-05,0.0032101099354816835
ENSRNOG00000000255,215.0449456103704,-2.803795552338231,0.6668185840905437,-4.204735169704747,2.6138803382925844e-05,0.0047489509144787116
ENSRNOG00000000258,30.9655330620927,-2.1351336369619927,0.6275637031908547,-3.4022580115865235,0.0006683151120602166,0.04845838414739383
ENSRNOG00000000262,130.16119567181025,-2.609083885906775,0.5137540725395793,-5.078468522905525,3.804894540425704e-07,0.00019157278660822424
ENSRNOG00000000263,22.631607727929634,-2.9782223128641117,0.8515935157683104,-3.4972346051474448,0.00047010821004725314,0.03990173613330566
ENSRNOG00000000266,53.78519976572733,-2.8523558358605667,0.5948030121236284,-4.795462998206389,1.6229952738787436e-06,0.0004953532552182473
ENSRNOG00000000269,54.41524337537526,-3.176745647320657,0.7511815556452102,-4.228998467077728,2.3473394525488522e-05,0.004464707677572628
ENSRNOG00000000270,11.403478569462884,-4.075983456188247,1.0109657416978548,-4.031772084920388,5.5357858784216576e-05,0.008350764812460441
ENSRNOG00000000271,105.22057942589298,-4.294383345867948,0.6057014485157368,-7.08993408615957,1.3417589123235188e-12,4.402310991333465e-09
ENSRNOG00000000278,668.9369770298916,-3.6123594622862245,0.8064237845354963,-4.479480307450206,7.4824992626201e-06,0.001722812637239056
ENSRNOG00000000279,61.603603126589185,-2.2539145079733434,0.6088787228828391,-3.701746215242675,0.0002141207343282106,0.022400895257847237
ENSRNOG00000000282,309.1616509070248,-2.7548419182619006,0.692015755580439,-3.9808947932857888,6.865633340000148e-05,0.009688663650985157
ENSRNOG00000000285,26.32236819677034,-2.7015690926791787,0.7517150544263416,-3.5938738711849196,0.00032579759548878557,0.031209982797042495
ENSRNOG00000000287,57.42337121588116,-1.9026077815833902,0.557923961929664,-3.410156063207852,0.0006492571610417642,0.04835627092097862
ENSRNOG00000000296,59.56836032457502,-3.228793147878524,0.6751880546569674,-4.782064975244457,1.7350357427811185e-06,0.0005175138429149863
ENSRNOG00000000297,28.748814794232658,-3.6853605610148357,0.6736355016318947,-5.4708526377944455,4.478755909524806e-08,4.89826604638363e-05
ENSRNOG00000000302,267.60013915727956,-1.8771561065888052,0.5112224819186517,-3.671896626188493,0.0002407570714481993,0.024685123481923185
ENSRNOG00000000306,29.037403704178747,-2.021653179050384,0.5594247889549094,-3.613806929841525,0.00030173378313815333,0.029117310072831797
ENSRNOG00000000308,139.90653655380274,-2.1868942382035734,0.6415181872870284,-3.408935680299134,0.0006521685425947284,0.04835627092097862
ENSRNOG00000000313,116.56722286851915,-2.7415805259024464,0.6770998063221831,-4.049005036338653,5.143583804987622e-05,0.008088017933169952
ENSRNOG00000000314,205.82293590573826,-2.1993835149979732,0.603609768001457,-3.6437175665332577,0.00026872829420495893,0.0273394583964797
ENSRNOG00000000329,13.966629321601422,-2.954406954905229,0.8540157680327101,-3.459429047441277,0.0005413218750883663,0.043062278185126354
ENSRNOG00000000337,78.98268904918469,-2.8614212198916333,0.7119488089876623,-4.019138993940252,5.8411206249786523e-05,0.008613355851934812
ENSRNOG00000000351,1008.0775772388455,2.2445521312457495,0.6540600865007483,3.4317216071908736,0.0005997628907963734,0.046852905826259554
ENSRNOG00000000354,1293.9786032913896,2.4663424114367096,0.7092338737401582,3.4774740783747484,0.0005061619900684917,0.04177905633747726
ENSRNOG00000000366,38.61851336691805,2.601635804783667,0.6069312434655472,4.286541239710211,1.8147652524672873e-05,0.003664150642058566
ENSRNOG00000000368,186.42096543149384,1.915841060294597,0.5366945499548597,3.5697047053221143,0.00035738385652082954,0.033030322063234974
ENSRNOG00000000372,858.5092897612109,3.108673001340344,0.633960507574284,4.903575166274986,9.410790756088084e-07,0.0003430756052302778
ENSRNOG00000000385,31.6780638396143,5.593718742073058,1.1544748376986333,4.845249596971514,1.2645260558129478e-06,0.00040551827720244107
ENSRNOG00000000401,247.33635503201222,2.568995273155913,0.61180855539102,4.199018223133564,2.6807474842626668e-05,0.004754341889657195
ENSRNOG00000000419,1312.6874934010432,3.225490137269905,0.8567490058976308,3.764801727304606,0.0001666812891133976,0.01885797619245026
ENSRNOG00000000436,80.73327955060633,2.4656778490802966,0.5824936153890623,4.232969742395215,2.3062554319355866e-05,0.004451072983635682
ENSRNOG00000000449,444.6099217696864,1.694522465469088,0.49029246870400894,3.4561462262478204,0.0005479579744678528,0.043062278185126354
ENSRNOG00000000835,9.098000429352119,3.7174865070552703,0.963687403634631,3.8575646968451034,0.00011452237169289922,0.014314205772358184
ENSRNOG00000001333,75.95275364843506,4.932368933055191,1.3803247808209775,3.5733394064848705,0.0003524574373183946,0.032806038350117805
ENSRNOG00000001548,243.746077149106,-3.929731076600799,1.128502009965487,-3.482254388471122,0.0004972111053319099,0.04129999079984801
ENSRNOG00000001863,627.2744916821421,-2.6984905954481007,0.5697050563384005,-4.736644980460236,2.1728531468684333e-06,0.0006337005488778071
ENSRNOG00000002012,359.52355855510524,-2.9175832885900044,0.8572375477575218,-3.403471180447257,0.0006653543204301973,0.04845838414739383
ENSRNOG00000002077,103.05497209684484,-3.136031927493618,0.914487172406672,-3.429279296767463,0.0006051864073368351,0.04693232532021371
ENSRNOG00000002222,104.36937697852083,3.434563368739233,0.8172059731980883,4.202812364792524,2.636191001819612e-05,0.0047489509144787116
ENSRNOG00000002300,49.42981218155786,2.507855646119211,0.6633415870755924,3.7806398618475634,0.00015642581370235283,0.018008178763418235
ENSRNOG00000002384,398.2835406878982,1.8339198026280483,0.5052222284693392,3.6299269891276067,0.00028350139820440724,0.027974980075448425
ENSRNOG00000002502,321.3657078335811,-2.5905608015918267,0.6986740193884052,-3.70782472183453,0.00020904726498249853,0.02239678303899667
ENSRNOG00000002507,119.17542264771733,2.0656170515328416,0.5902639743426098,3.4994801331613803,0.0004661663416025604,0.03990173613330566
ENSRNOG00000002659,120.27168316463731,-3.785327954763871,0.7473720157004361,-5.064851071813636,4.087197519834104e-07,0.00019157278660822424
ENSRNOG00000002671,1201.249597194382,5.31582273416256,1.2397170120153922,4.287932393152123,1.8034396148546286e-05,0.003664150642058566
ENSRNOG00000003066,66.07756797324478,2.7564528453937065,0.6446180844071261,4.276102256623619,1.9019388943326153e-05,0.0037740873237342956
ENSRNOG00000003269,11.399498534562774,-4.514658817211368,1.2075741844324877,-3.7386181945692054,0.00018503449500948695,0.02036131905377049
ENSRNOG00000003368,131.94334098689328,-2.617666661429592,0.5942812007210271,-4.40476100918831,1.059005640372393e-05,0.0023163983373745475
ENSRNOG00000003513,303.90307069177476,2.4883562409667612,0.5478504051967118,4.54203595974943,5.571353457523619e-06,0.0014623688555307995
ENSRNOG00000003595,5967.015289552171,4.67008030497594,1.1553917592629144,4.041988587451266,5.2999812728788164e-05,0.008088017933169952
ENSRNOG00000003694,1195.2593215720567,-2.242996135694476,0.6592608504011552,-3.4022892976727337,0.0006682386033659467,0.04845838414739383
ENSRNOG00000003816,89.1469438199252,4.029762957369191,0.7884028334624149,5.111299435178019,3.1995038546771843e-07,0.00018256647212514508
ENSRNOG00000003822,160.46991526978067,-3.903503269547993,0.9524351274428524,-4.098445297821304,4.159345077349208e-05,0.0069097778221684815
ENSRNOG00000004193,26.816820734507118,-2.974023145344885,0.8495796353985621,-3.5005819601004036,0.0004642434588618058,0.03990173613330566
ENSRNOG00000004317,28.72256524110495,-2.4416892025457373,0.7025949627130095,-3.4752443899076164,0.0005103881397385231,0.04186458716205236
ENSRNOG00000004369,197.6585650463901,7.448500635785886,0.9290693573212792,8.017163172038767,1.0821532403327175e-15,1.4202179126126585e-11
ENSRNOG00000004389,1773.1707313178922,4.64899511702446,1.3302349327328766,3.4948677129335475,0.00047429677208135347,0.03990173613330566
ENSRNOG00000004894,8.303027106526367,3.222136978527328,0.9183863143067227,3.5084766925775406,0.00045068072212227833,0.039511050453745915
ENSRNOG00000004896,249.3249695565461,2.6596514652674554,0.7778696288769149,3.419148102115067,0.000628175257161462,0.04771388620651315
ENSRNOG00000005065,45.90422643208577,3.320927554947946,0.9801183987245375,3.3882922300709644,0.0007032928943860921,0.04986609121498051
ENSRNOG00000005085,798.3855162864484,2.67230405760504,0.7475429189282077,3.574783453820237,0.0003505178849340457,0.032806038350117805
ENSRNOG00000005409,175.77992500461622,-2.496355673208423,0.6118105373876553,-4.0802757073578855,4.4982315151298034e-05,0.007199364683483359
ENSRNOG00000005436,22.5502268200713,4.484751774796247,1.2118887693899896,3.700629866430456,0.0002150649803786004,0.022400895257847237
